company,company_website,industry,job_title,pub_date,job_url,source
WINS LAB sp. z o.o.,,Finanse / Ekonomia,Główny księgowy / Główna księgowa,2025-09-19,https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-wroclaw-boleslawa-krzywoustego-105%2Coferta%2C1004340731,pracuj.pl
LINDY CAPITAL sp. z o.o.,,Finanse / Ekonomia,Główny księgowy / Główna księgowa,2025-09-19,https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-warszawa-wspolna-70%2Coferta%2C1004319712,pracuj.pl
Britenet,,Finanse / Księgowość,Chief Accountant,2025-09-19,https://rocketjobs.pl/oferta-pracy/britenet-chief-accountant-lublin-finanse-ksiegowosc,rocketjobs.pl
NEWCOLD,,Finanse / Księgowość,Główna Księgowa/Główny Księgowy,2025-09-19,https://rocketjobs.pl/oferta-pracy/newcold-glowna-ksiegowa-glowny-ksiegowy-warszawa-finanse-ksiegowosc,rocketjobs.pl
Cyclad,,Finanse / Księgowość,Główna Księgowa / Główny Księgowy,2025-09-19,https://rocketjobs.pl/oferta-pracy/cyclad-glowna-ksiegowa-glowny-ksiegowy-warszawa-finanse-ksiegowosc,rocketjobs.pl
Fujitsu,,,Europe - Chief Accountant Poland,2025-09-19,https://pl.indeed.com/viewjob?jk=b345800979de6819,indeed
Greenvolt,,,Chief Accountant Specialist,2025-09-19,https://pl.indeed.com/viewjob?jk=72c18b2c533c3156,indeed
ŚLĄSKI FUNDUSZ ROZWOJU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚĆIĄ,,,Główny księgowy / Główna księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-katowice-zeliwna-38,oferta,1004367415",pracuj.pl
Stora Enso,,,Główny Księgowy / Główna Księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-ostroleka,oferta,1004333567",pracuj.pl
HRK S.A.,,,Główna Księgowa - Spółka Produkcyjna,2025-09-19,"https://www.pracuj.pl/praca/glowna-ksiegowa-spolka-produkcyjna-warszawa,oferta,1004352323",pracuj.pl
HRK S.A.,,,Główna Księgowa / Główny Księgowy,2025-09-19,https://pracodawcy.pracuj.pl/company/20001292?pid=1004352157&multiple=true,pracuj.pl
Devire,,,Główna księgowa/Główny księgowy,2025-09-19,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-poznan,oferta,1004336331",pracuj.pl
"""WATKEM"" sp. z o.o.",,,Główny księgowy / Główna księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-rzeszow-aleja-armii-krajowej-4,oferta,1004333044",pracuj.pl
